id,title,description,requirements,conditions,locations,country,postedDate,employeeId,createdAt,updatedAt,key_skills_x,companyId,companyName,companyDescription,contactInfo,salary_from,salary_to,salary_currency,salary_gross,vacancy_url,experience,job_text,key_skills_y
108497432,"Water, Plumbing and Heating Product Manager",Product Strategy and Planning: Develop and execute product strategies and roadmaps for heating and plumbing product lines. Conduct market research...,"Education: Bachelor's degree in Engineering or Science. Experience: Minimum of 2 years of experience in product management, preferably in...",Полная занятость,Астана,Kazakhstan,2024-11-10T08:41:51+0300,11098515,2024-11-10T08:41:51+0300,2024-11-10T08:41:51+0300,Not specified,11098515,Expert,Нет описания,Not provided,1800.0,1800.0,USD,False,https://hh.ru/vacancy/108497432,От 1 года до 3 лет,"Education: Bachelor's degree in Engineering or Science. Experience: Minimum of 2 years of experience in product management, preferably in... Not specified","Agile, scram, Waterfall, Scrum, Agile Project Management, Тайм-менеджмент"
108497432,"Water, Plumbing and Heating Product Manager",Product Strategy and Planning: Develop and execute product strategies and roadmaps for heating and plumbing product lines. Conduct market research...,"Education: Bachelor's degree in Engineering or Science. Experience: Minimum of 2 years of experience in product management, preferably in...",Полная занятость,Астана,Kazakhstan,2024-11-10T08:41:51+0300,11098515,2024-11-10T08:41:51+0300,2024-11-10T08:41:51+0300,Not specified,11098515,Expert,Нет описания,Not provided,1800.0,1800.0,USD,False,https://hh.ru/vacancy/108497432,От 1 года до 3 лет,"Education: Bachelor's degree in Engineering or Science. Experience: Minimum of 2 years of experience in product management, preferably in... Not specified","Agile, scram, Waterfall, Scrum, Agile Project Management, Тайм-менеджмент"
117565944,Junior ML/AI Engineer и Middle ML/AI Engineer,Помощь в разработке AI-агентов. Подготовка и обработка данных для обучения моделей. Fine-tuning моделей под конкретные задачи. ,"Что нужно знать и уметь: Базовые знания Python, PyTorch/TensorFlow. Опыт работы с языковыми моделями. Навыки работы с NLP-библиотеками...",Полная занятость,Астана,Kazakhstan,2025-02-21T13:31:17+0300,5844608,2025-02-21T13:31:17+0300,2025-02-21T13:31:17+0300,"Python, PyTorch, TensorFlow",5844608,Казах Софт Девелопмент,Нет описания,Not provided,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117565944,Нет опыта,"Что нужно знать и уметь: Базовые знания Python, PyTorch/TensorFlow. Опыт работы с языковыми моделями. Навыки работы с NLP-библиотеками... Python, PyTorch, TensorFlow","Python, PyTorch, TensorFlow"
117565944,Junior ML/AI Engineer и Middle ML/AI Engineer,Помощь в разработке AI-агентов. Подготовка и обработка данных для обучения моделей. Fine-tuning моделей под конкретные задачи. ,"Что нужно знать и уметь: Базовые знания Python, PyTorch/TensorFlow. Опыт работы с языковыми моделями. Навыки работы с NLP-библиотеками...",Полная занятость,Астана,Kazakhstan,2025-02-21T13:31:17+0300,5844608,2025-02-21T13:31:17+0300,2025-02-21T13:31:17+0300,"Python, PyTorch, TensorFlow",5844608,Казах Софт Девелопмент,Нет описания,Not provided,300000.0,400000.0,KZT,False,https://hh.ru/vacancy/117565944,Нет опыта,"Что нужно знать и уметь: Базовые знания Python, PyTorch/TensorFlow. Опыт работы с языковыми моделями. Навыки работы с NLP-библиотеками... Python, PyTorch, TensorFlow","Python, PyTorch, TensorFlow"
116327247,Сетевой инженер,"Работа с сетевым оборудованием Cisco,Huawei MikroTik и т.д. (коммутаторы, маршрутизаторы, межсетевые экраны, виртуальное сетевое оборудование, радиомосты). ","Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:12:03+0300,10438633,2025-02-24T11:12:03+0300,2025-02-24T11:12:03+0300,Not specified,10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327247,От 3 до 6 лет,"Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT... Not specified",Not specified
116327247,Сетевой инженер,"Работа с сетевым оборудованием Cisco,Huawei MikroTik и т.д. (коммутаторы, маршрутизаторы, межсетевые экраны, виртуальное сетевое оборудование, радиомосты). ","Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:12:03+0300,10438633,2025-02-24T11:12:03+0300,2025-02-24T11:12:03+0300,Not specified,10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327247,От 3 до 6 лет,"Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT... Not specified",Not specified
116327247,Сетевой инженер,"Работа с сетевым оборудованием Cisco,Huawei MikroTik и т.д. (коммутаторы, маршрутизаторы, межсетевые экраны, виртуальное сетевое оборудование, радиомосты). ","Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:12:03+0300,10438633,2025-02-24T11:12:03+0300,2025-02-24T11:12:03+0300,Not specified,10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327247,От 3 до 6 лет,"Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT... Not specified",Not specified
116327247,Сетевой инженер,"Работа с сетевым оборудованием Cisco,Huawei MikroTik и т.д. (коммутаторы, маршрутизаторы, межсетевые экраны, виртуальное сетевое оборудование, радиомосты). ","Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:12:03+0300,10438633,2025-02-24T11:12:03+0300,2025-02-24T11:12:03+0300,Not specified,10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327247,От 3 до 6 лет,"Основы вычислительных сетей и сетевых технологий: Опыт работы с сетевым оборудованием Cisco, Huawei, MicroTik. Знание протоколов TCP/IP, VLAN, NAT... Not specified",Not specified
116327161,QA engineer,"Подготовка протоколов тестирования, актуализация тестовой документации, чек листов. Автоматизация процесса обеспечения качества на проекте. Участие на всех этапах разработки ПО...","Понимание микросервисной архитектуры. Знание и применение на практике, основ и принципов проведения тестирования веб-приложений. Знание популярных веб-технологий и...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:11:58+0300,10438633,2025-02-24T11:11:58+0300,2025-02-24T11:11:58+0300,"Atlassian Jira, Английский язык, TestRail, Redmine, SQL",10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327161,От 3 до 6 лет,"Понимание микросервисной архитектуры. Знание и применение на практике, основ и принципов проведения тестирования веб-приложений. Знание популярных веб-технологий и... Atlassian Jira, Английский язык, TestRail, Redmine, SQL","Atlassian Jira, Английский язык, TestRail, Redmine, SQL"
116327161,QA engineer,"Подготовка протоколов тестирования, актуализация тестовой документации, чек листов. Автоматизация процесса обеспечения качества на проекте. Участие на всех этапах разработки ПО...","Понимание микросервисной архитектуры. Знание и применение на практике, основ и принципов проведения тестирования веб-приложений. Знание популярных веб-технологий и...",Полная занятость,Астана,Kazakhstan,2025-02-24T11:11:58+0300,10438633,2025-02-24T11:11:58+0300,2025-02-24T11:11:58+0300,"Atlassian Jira, Английский язык, TestRail, Redmine, SQL",10438633,Butterfly Effect,Нет описания,Not provided,300000.0,400000.0,KZT,Unknown,https://hh.ru/vacancy/116327161,От 3 до 6 лет,"Понимание микросервисной архитектуры. Знание и применение на практике, основ и принципов проведения тестирования веб-приложений. Знание популярных веб-технологий и... Atlassian Jira, Английский язык, TestRail, Redmine, SQL","Atlassian Jira, Английский язык, TestRail, Redmine, SQL"
